"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
59002285,7.6,7.75,7,NA,NA,NA,6.25,8.5,8,"Cantonese"
59002287,4,6.25,6.8,NA,NA,NA,6.75,5,8.75,"Cantonese"
59002289,5,7,6.8,NA,NA,NA,6.5,5,6.75,"Cantonese"
59002295,6,9,7.8,NA,NA,NA,7,8.25,9,"Cantonese"
59002297,8.4,8.25,8,NA,NA,NA,7.5,7.5,8.75,"Cantonese"
59002301,6.4,8.25,7.6,NA,NA,NA,6.25,4,7.5,"Cantonese"
59002305,6.8,6.25,7,NA,NA,NA,6.75,4,7.25,"Cantonese"
59002309,5.2,7.75,5.8,NA,NA,NA,6.5,5.5,7.75,"Cantonese"
59002313,6.4,7.5,4.8,NA,NA,NA,6.75,6.25,8.5,"Cantonese"
59002318,6.4,8.75,8,NA,NA,NA,7.75,8,8.5,"Cantonese"
59002320,6.2,3.5,6.4,NA,NA,NA,4.75,4.25,6.75,"Cantonese"
59002327,5.4,7.25,7.6,NA,NA,NA,7,6.75,7.75,"Cantonese"
59002331,5.8,8.5,4.4,NA,NA,NA,6.5,6.75,8.25,"Cantonese"
59002333,5.6,8.25,7,NA,NA,NA,5.5,5.5,6.75,"Cantonese"
59002334,8.4,9,9.2,NA,NA,NA,8.75,7.75,10,"Cantonese"
59002335,5.8,7,5.4,NA,NA,NA,7.75,7.5,8,"Cantonese"
59002336,6.6,8.75,8,NA,NA,NA,6.5,6.5,7.5,"Cantonese"
59002346,3.8,7.25,7.2,NA,NA,NA,8.75,7.75,7.5,"Cantonese"
59002350,5.8,7.5,8.4,NA,NA,NA,6.5,5.5,8.25,"Cantonese"
59002360,3.2,7.25,6.4,NA,NA,NA,5.25,5.75,6.25,"Cantonese"
59002362,6.4,7,6,NA,NA,NA,7.25,5.5,7.75,"Cantonese"
59002365,7.2,8,8,NA,NA,NA,6.75,6.75,7.5,"Cantonese"
59002371,6.6,6.75,8.6,NA,NA,NA,7.5,7.75,9,"Cantonese"
59002373,5.4,8.5,7,NA,NA,NA,6.75,6,5,"Cantonese"
