"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
1015560,8.4,8.5,9.8,NA,NA,NA,8.75,8.75,7.25,"French"
1015585,7.8,7.25,8.8,NA,NA,NA,6.5,7.5,8.75,"French"
1015598,7.6,8.5,9,NA,NA,NA,6.75,7,8,"French"
1015618,8,8,9.4,NA,NA,NA,7.75,8.25,8.75,"French"
1015658,7.2,9,10,NA,NA,NA,7.25,7.5,8.25,"French"
1015664,7.6,6.75,8.8,7,4.75,5.75,NA,NA,NA,"French"
1015684,8.4,8.5,9.8,NA,NA,NA,9.25,8.75,8.75,"French"
1015741,8,8.25,9.4,NA,NA,NA,7.75,9,7.75,"French"
1015742,8.6,9.25,9.8,NA,NA,NA,8.75,8,9.25,"French"
1015762,6.6,8.25,9,NA,NA,NA,7.5,7.25,8.25,"French"
1015765,8.6,8.25,7,4.75,4,6.25,NA,NA,NA,"French"
1015772,8,8.25,9.4,NA,NA,NA,7.75,7,8.5,"French"
1015785,6.8,7.5,8,NA,NA,NA,6.5,5.75,8,"French"
1015801,8,7,7.8,6.75,6.75,6.5,NA,NA,NA,"French"
1015812,8.6,8,9.6,6,6.5,5.25,NA,NA,NA,"French"
1015820,8.6,7.5,7.4,4.5,5.25,5,NA,NA,NA,"French"
1016774,8,9,9.2,NA,NA,NA,8.25,8,8.75,"French"
1016799,7.6,6.75,9.2,5.5,4.25,7,NA,NA,NA,"French"
1016805,5.8,8.75,9.6,NA,NA,NA,7.25,6.75,7.5,"French"
1016814,8.4,8.25,9.8,6.25,8,7.25,NA,NA,NA,"French"
1016843,7.4,8.5,9.4,NA,NA,NA,6.75,6.75,7.75,"French"
1016880,6,7.75,8.8,NA,NA,NA,8,6.5,8.25,"French"
1016884,6.4,8,9.4,NA,NA,NA,8.5,7.75,8.25,"French"
1016889,7,7.5,8.2,3.75,6.75,8,NA,NA,NA,"French"
1016929,8.8,8.75,9.6,NA,NA,NA,8.75,8,9,"French"
1016931,8,8.5,9.6,NA,NA,NA,7.5,7.25,8.25,"French"
1017396,6,9.5,9,NA,NA,NA,6.25,7.5,7.25,"French"
1017401,7.6,8,8.6,NA,NA,NA,7,7.5,9.25,"French"
1017435,8.6,9,9,NA,NA,NA,8.25,8.5,8.75,"French"
1017468,7.8,8.75,8.4,NA,NA,NA,7.5,7.5,8,"French"
1017470,8,9,9.6,NA,NA,NA,7.5,7.75,8,"French"
1017493,8.6,9.75,10,NA,NA,NA,8.75,9,9.75,"French"
1017497,6.6,7.5,9.8,NA,NA,NA,8.5,6.75,9,"French"
1017561,8.2,8.75,9.2,NA,NA,NA,7.5,7.75,9,"French"
1017636,7.8,8.75,10,NA,NA,NA,8.5,9,8.75,"French"
1017643,6.8,8.75,8.2,NA,NA,NA,7,7.25,7.5,"French"
1017714,7.2,8,9.6,NA,NA,NA,9.25,8.75,9,"French"
1018031,8.2,7,9,8.25,5.25,5.5,NA,NA,NA,"French"
1018111,8.2,8.25,8.6,6.5,8.5,7.25,NA,NA,NA,"French"
1019277,8.4,9,10,NA,NA,NA,7.25,8.75,8.5,"French"
