"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
1096475,NA,NA,5.8,NA,NA,NA,6,6.75,NA,"German"
1104081,7.2,8.25,2.2,NA,NA,NA,7.25,7.5,8,"German"
2000358,7.8,7.75,7.6,7.5,7.5,7.25,NA,NA,NA,"German"
2004448,7.4,6.75,8,NA,NA,NA,8,8.25,9,"German"
2005855,7.6,7.75,7,8,8.75,6.5,NA,NA,NA,"German"
2037683,7.8,8,9,8,7,7.5,NA,NA,NA,"German"
2044859,7.6,6.5,2,5.5,7.5,7.25,NA,NA,NA,"German"
2051377,9,7,6.4,9,9.25,8.75,NA,NA,NA,"German"
2053053,4.8,4.75,4.6,NA,NA,NA,7.75,6,8.5,"German"
2053807,6,7.75,5,NA,NA,NA,8,7,8.5,"German"
2065047,5.4,7.25,7.2,NA,NA,NA,7,6.5,NA,"German"
2065089,3.2,6.5,6,NA,NA,NA,7,7.25,NA,"German"
2065171,7.4,8.75,6.2,NA,NA,NA,8.5,8,NA,"German"
2068863,5.8,NA,2.4,3.75,NA,NA,NA,NA,NA,"German"
3021582,6,8.75,2.6,NA,NA,NA,5.5,8,8.5,"German"
3023021,7.2,8.75,6.6,7,7,5.25,NA,NA,NA,"German"
3023904,7,8.5,6.8,NA,NA,NA,7,6.75,8.5,"German"
3023959,8.4,7,6,6,7.25,5.5,NA,NA,NA,"German"
4009180,5.8,6,2.8,6.5,5.25,5.75,NA,NA,NA,"German"
4012538,6.2,5.75,4,NA,NA,NA,3.25,6.75,7.75,"German"
4012571,7.4,8.75,7.6,NA,NA,NA,8.5,8.75,9.25,"German"
12006438,8,7.75,4.8,NA,NA,NA,7.25,8,7.75,"German"
12008344,6.6,8.5,5.2,7,7,5,NA,NA,NA,"German"
15002031,6.6,9,4.8,NA,NA,NA,9.5,9.25,8.75,"German"
16013233,6.8,8.5,6,NA,NA,NA,7.5,8,9.25,"German"
16013265,6.6,7,3.2,NA,NA,NA,4.25,6.5,8.5,"German"
16013425,7,8,4.8,NA,NA,NA,8.5,8.75,9,"German"
17004390,6.6,8.5,5.6,NA,NA,NA,7.25,7.5,9,"German"
17007552,4.4,5.25,5.6,NA,NA,NA,NA,NA,NA,"German"
18003189,7.6,9,4.8,NA,NA,NA,NA,NA,NA,"German"
19001120,8.4,9.25,8.2,NA,NA,NA,7.75,6.5,8.5,"German"
19001172,5.6,9,5.6,NA,NA,NA,6.75,7,8.25,"German"
21003210,8.8,7.75,6.8,6.75,6.5,8.75,NA,NA,NA,"German"
21003287,6.8,7.5,4.2,NA,NA,NA,7.5,6.75,8.25,"German"
21009334,6.4,8.25,3.4,NA,NA,NA,6.5,7.75,8.25,"German"
21009373,5.4,7.25,3,NA,NA,NA,5.75,7.25,7.5,"German"
21014447,7.4,9.25,4.8,NA,NA,NA,7.5,8.5,9,"German"
21014776,6,7.25,3.4,NA,NA,NA,7,7.5,9,"German"
22013922,7.6,7.25,4.8,NA,NA,NA,5.75,7.25,8.25,"German"
25000890,7.2,8.5,4,NA,NA,NA,8,8,8.5,"German"
25001160,8,9.25,6.4,NA,NA,NA,9.5,8.75,9.5,"German"
25009691,6.8,9,4.2,NA,NA,NA,8,7.5,9,"German"
25009764,7,8.25,6.6,NA,NA,NA,7.5,8.25,8.5,"German"
25013304,7.2,8.25,2.8,NA,NA,NA,5.25,7.5,8.75,"German"
26000011,7.4,9,8.4,NA,NA,NA,9.25,8.75,9.5,"German"
26001760,8,6.75,6.6,7.5,7.25,6,NA,NA,NA,"German"
26002137,8,8,4.6,NA,NA,NA,7.5,7.5,8.25,"German"
26017287,5.4,6.75,3.6,4.5,6,5.75,NA,NA,NA,"German"
26017288,6.4,6,5.6,4.25,5.75,5,NA,NA,NA,"German"
29000310,8.8,9,3.8,NA,NA,NA,6.5,8.5,9.25,"German"
29002213,7,8.5,5,6.75,6,6.5,NA,NA,NA,"German"
29002728,8,8.75,4.2,NA,NA,NA,7.25,7.75,8.25,"German"
29002798,7.4,9,3.8,8.25,5,7.25,NA,NA,NA,"German"
29002810,4.6,7.91,2,NA,NA,NA,7.5,6.5,8,"German"
29004177,5,9.25,6.8,NA,NA,NA,8,9,9,"German"
29029020,6.2,7,6.4,5.25,6.75,5,NA,NA,NA,"German"
29033445,7.4,9,7.4,6.75,7.75,6.25,NA,NA,NA,"German"
29033528,8.2,9.5,7.4,NA,NA,NA,7.5,7.5,9.25,"German"
31006131,8.4,7.5,5.4,7.25,8,7,NA,NA,NA,"German"
31007424,7.8,7.5,4.4,NA,NA,NA,8.25,8.75,9.25,"German"
32004422,6.8,7.25,3.6,NA,NA,NA,6.25,6.25,7,"German"
33003826,7.6,8.5,7.2,5.75,8.5,8,NA,NA,NA,"German"
33004103,8.4,8.5,7.2,7.5,7.75,5.75,NA,NA,NA,"German"
41010377,4.6,6.75,1.8,NA,NA,NA,4.25,6.25,8,"German"
41013949,8.4,6.5,7.4,7.75,NA,NA,NA,NA,NA,"German"
44001996,8.2,8.5,5.6,NA,NA,NA,7.5,8.5,9,"German"
45000863,5.8,6.25,7,NA,NA,NA,7.25,7.75,8.25,"German"
48011699,6.8,6.75,4.2,NA,NA,NA,6.75,6.25,7.5,"German"
