"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
1004472,8.4,9,9.4,NA,NA,NA,8.5,8.25,9,"Japanese"
1004484,7.6,9.25,6.6,NA,NA,NA,7.75,7.25,7.5,"Japanese"
1004551,8.8,8.75,7.8,9,6.5,7.25,NA,NA,NA,"Japanese"
1004695,7.8,9.5,9,NA,NA,NA,7,9,8.75,"Japanese"
1004702,8.4,8.5,9.4,NA,NA,NA,7.25,6.75,8.25,"Japanese"
1004703,7.8,8.5,7.8,NA,NA,NA,6.25,5.75,8.25,"Japanese"
1004715,8,8.5,5.6,NA,NA,NA,8.75,7.25,8,"Japanese"
1004727,6.8,8.25,7,NA,NA,NA,6.75,7.75,9,"Japanese"
1004729,6.4,9.5,6.8,NA,NA,NA,7.5,6.5,6.75,"Japanese"
1004735,8.4,9.25,9.8,NA,NA,NA,8.25,9.5,8.75,"Japanese"
1004743,8.4,8.75,7.8,NA,NA,NA,8,7.25,8.75,"Japanese"
1004756,8.6,7.75,7.2,NA,NA,NA,7.75,6.75,8.25,"Japanese"
1004766,7.6,7.5,8.8,NA,NA,NA,8.25,8.25,9.25,"Japanese"
1004772,8.4,9,9.2,NA,NA,NA,8,8.25,9,"Japanese"
1004785,7.2,8.5,8.2,NA,NA,NA,5.5,8.25,7,"Japanese"
1004794,7.2,9,8.2,NA,NA,NA,7.25,7.5,8.75,"Japanese"
1005382,6.2,8.25,8.6,NA,NA,NA,5.75,8.75,9,"Japanese"
1005428,7.4,9,7.2,NA,NA,NA,9.75,8.75,8,"Japanese"
1006012,7.6,8.25,8,NA,NA,NA,7.25,5.75,8,"Japanese"
1006041,7.6,8,6.6,6.75,5.25,6.25,NA,NA,NA,"Japanese"
1007195,6,8.75,7.8,NA,NA,NA,7,6.75,8.25,"Japanese"
1007243,6.2,8,5.2,NA,NA,NA,6.75,6.5,8,"Japanese"
1007251,7.4,8.25,7.8,NA,NA,NA,8.75,8.75,9,"Japanese"
1007252,7.4,8.25,5.2,NA,NA,NA,6.5,9,9.25,"Japanese"
1007258,6.4,7.75,3.2,NA,NA,NA,7,6.75,6.75,"Japanese"
